artist,genres
j'san,lo-fi beats
j'san,lo-fi hip hop
boyhood.,No Genre
badly,No Genre
Ricky Montgomery,No Genre
Kuwada,No Genre
A-Wall,bedroom pop
guardin,emo rap
nbmusic,No Genre
Brent Faiyaz,r&b
Skyler Wind,No Genre
Johnny Orlando,No Genre
KIAN,No Genre
John K,No Genre
prxz,lo-fi
Ruel,No Genre
grentperez,No Genre
Tai Verdes,No Genre
Tom Walker,No Genre
Alexander 23,No Genre
Julia Michaels,No Genre
Dean Lewis,No Genre
Skylar Simone,No Genre
James Blunt,No Genre
AURORA,norwegian pop
AURORA,art pop
Mark Mendy,No Genre
JP Cooper,No Genre
Omar Apollo,bedroom pop
Freya Ridings,No Genre
MAX,No Genre
Calum Scott,soft pop
Joel Adams,No Genre
Noah Kahan,No Genre
Forrest.,No Genre
DEAN,k-rap
DEAN,k-pop
Saint Motel,No Genre
たかやん,j-pop
たかやん,j-rap
たかやん,japanese indie
Scissor Sisters,No Genre
Studio Killers,No Genre
Sage The Gemini,hyphy
The Good Husbands,No Genre
Nabes,No Genre
Ocean Park Standoff,No Genre
Holy Mattress Money,No Genre
Jonny Glenn,No Genre
Burna Boy,afrobeats
Burna Boy,afrobeat
Burna Boy,afropop
Burna Boy,afroswing
Burna Boy,dancehall
Burna Boy,afropiano
Kid Quill,No Genre
Hoodie Allen,No Genre
Jonah Renna,No Genre
Shoffy,No Genre
Luke Christopher,No Genre
Bryce Vine,No Genre
MILES,No Genre
Bazanji,No Genre
Brendan Bennett,No Genre
Kurt Hugo Schneider,No Genre
The Wombats,indie
WizTheMc,No Genre
COIN,No Genre
Grady,No Genre
Blake and Miles,No Genre
almost monday,No Genre
Peach Tree Rascals,No Genre
ROLE MODEL,bedroom pop
Ritt Momney,bedroom pop
Soran,No Genre
Ruth B.,No Genre
Rence,No Genre
Dayglow,indie rock
david hugo,No Genre
Bazzi vs.,No Genre
Ūla,No Genre
HARBOUR,No Genre
New Rules,No Genre
Joshua Bassett,No Genre
JK Jones,No Genre
LAUNDRY DAY,bedroom pop
The Mowgli's,No Genre
Paycheck,No Genre
KAYDEN,No Genre
Val Fritz,No Genre
young friend,No Genre
Blanks,No Genre
Kid Travis,No Genre
THE DRIVER ERA,No Genre
New Parlor,No Genre
Sarcastic Sounds,lo-fi
Conan Gray,No Genre
NVTHVN,No Genre
Rory Webley,No Genre
New Friends,No Genre
Sneaky Peaches and the Fuzz,No Genre
Lui Joseph,No Genre
Thomas Headon,No Genre
Valley,No Genre
Ellie Williams,No Genre
sammy rash,No Genre
The Wldlfe,No Genre
nodisco.,No Genre
Slush Puppy,No Genre
Aidan Bissett,No Genre
JayXander,No Genre
Soul Fro,No Genre
Nic D,No Genre
Free Arlo,No Genre
Sam Soto,No Genre
Don Diablo,future house
Don Diablo,edm
Alexa Cappelli,No Genre
Why Don't We,No Genre
JVKE,No Genre
Hannah Montana,No Genre
sam.sts,bedroom pop
Jacob Noah,No Genre
Kenny Elrod,No Genre
Maude Latour,indie pop
G Flip,No Genre
KiD RAiN,No Genre
Arden Jones,No Genre
Sara Kays,No Genre
Christian French,No Genre
Ryan Woods,No Genre
papichuloteej,No Genre
Early Eyes,No Genre
Satchy,No Genre
No Vacation,bedroom pop
No Vacation,dream pop
Current Joys,lo-fi indie
The Walters,No Genre
Good Morning,lo-fi indie
Good Morning,bedroom pop
Men I Trust,bedroom pop
Men I Trust,indie pop
Clarence James,No Genre
Kuzu Mellow,No Genre
Ollie MN,No Genre
Frances Forever,bedroom pop
TEMPOREX,bedroom pop
Vampire Weekend,indie
Vampire Weekend,baroque pop
Gus Dapperton,bedroom pop
"Dream, Ivory",No Genre
carpetgarden,No Genre
Odd Sweetheart,No Genre
Yot Club,bedroom pop
Memo Boy,No Genre
Summer Salt,No Genre
Bad Suns,No Genre
Vacations,No Genre
Grouper,drone
Grouper,slowcore
Grouper,ambient
Grouper,dream pop
Beach House,dream pop
TV Girl,No Genre
The Memories,No Genre
Banes World,bedroom pop
Banes World,lo-fi indie
Staffan Carlén,No Genre
Joy Again,No Genre
Steve Lacy,No Genre
dsiboys,No Genre
Worn-Tin,No Genre
Mitski,No Genre
Jake Scott,No Genre
Luke Benward,No Genre
Scarlet Drive,No Genre
marcos g,No Genre
Hudson Thames,No Genre
Half the Animal,No Genre
Lexi Jayde,No Genre
Goody Grace,No Genre
Ben Chandler,No Genre
Silver Warehouse,No Genre
The Millennial Club,No Genre
Cherry Pools,No Genre
Chase Atlantic,No Genre
Crash Adams,No Genre
Olivia O'Brien,No Genre
The True Blue,No Genre
The Wrecks,No Genre
The Band CAMINO,No Genre
Gold Revere,No Genre
Jack House,hyperpop
Jack House,glitch
Chris Wallace,No Genre
Will Joseph Cook,No Genre
OK Houston,No Genre
Christopher Fitzgerald,musicals
awfultune,No Genre
The Boy from the South,No Genre
Jan Metternich,No Genre
sundial,No Genre
CKay,afrobeats
CKay,afrobeat
CKay,afro r&b
CKay,afropop
Gavin James,No Genre
Ron Pope,No Genre
Jack & Jack,No Genre
Queen,classic rock
Queen,rock
Queen,glam rock
Lord Huron,No Genre
Alex & Sierra,No Genre
Noah Cyrus,No Genre
Bright Eyes,indie folk
Kate Brunotts,ballroom vogue
Jack Rasmussen,No Genre
Presley River,No Genre
RAMES,No Genre
DENIO,No Genre
Lady Silver,No Genre
Ries Brothers,reggae rock
Ries Brothers,modern blues
THE JACKS,No Genre
THREE OF THE FIVE,No Genre
The Rills,No Genre
Cat Power,slowcore
Cat Power,singer-songwriter
The Wannadies,britpop
The Kooks,indie
The Kooks,indie rock
King No-One,No Genre
Mumm-ra,No Genre
Sinplus,No Genre
Single By Sunday,No Genre
Local Nomad,No Genre
Bits in Pockets,No Genre
Jack Johnson,surf rock
Sufjan Stevens,baroque pop
Arctic Monkeys,indie
Arctic Monkeys,garage rock
Florence + The Machine,baroque pop
Drawing Room,No Genre
The Mercy Stone,No Genre
Tom Odell,No Genre
telco,indie folk
Lil' Troy,southern hip hop
Tione Jayden,No Genre
Puzzle,No Genre
Gabriela Bee,No Genre
Alec Benjamin,No Genre
Declan McKenna,No Genre
Ryan Beatty,No Genre
D-Block Europe,grime
D-Block Europe,uk drill
Doe Boy,No Genre
LilJJ,No Genre
Mitch James,No Genre
Dominic Fike,No Genre
Current Blue,bedroom pop
atlas,No Genre
Kaz Moon,No Genre
HUNNY,indie pop
Atwood,No Genre
Bennett Coast,No Genre
HOAX,No Genre
Your Neighbors,No Genre
Marc Wavy,No Genre
Forrest Nolan,bedroom pop
Jelani Aryeh,No Genre
Ryan Leahan,No Genre
X Lovers,No Genre
Ian Hugel,No Genre
The Ugly Boys,No Genre
Beach Weather,No Genre
Fiji Blue,No Genre
Luke Bryan,country
Luke Bryan,acoustic country
Robyn Ottolini,No Genre
Lee Brice,country
Lee Brice,acoustic country
John Denver,folk
Jason Aldean,country
Jason Aldean,acoustic country
Dierks Bentley,country
Diplo,moombahton
Gabby Barrett,country
Chris Stapleton,country
Chris Stapleton,outlaw country
Mr. Gun,No Genre
Brett Young,country
Cole Gallagher,No Genre
The Macarons Project,No Genre
Mikaela Astel,No Genre
Regina Love,No Genre
Keith Urban,country
Darius Rucker,country
Shania Twain,country
Kid Rock,No Genre
Thomas Rhett,country
Thomas Rhett,acoustic country
Thomas Rhett,pop country
Alan Jackson,country
Alan Jackson,christian country
Alan Jackson,classic country
Brad Paisley,country
Lady A,country
Lady A,pop country
Steve Earle,alt country
Steve Earle,outlaw country
Steve Earle,americana
Steve Earle,country rock
Little Big Town,country
Midland,country
Midland,honky tonk
Blake Shelton,country
Dustin Lynch,country
Dustin Lynch,acoustic country
Morgan Wallen,country
Billy Currington,country
Billy Currington,acoustic country
Chris Janson,country
LANCO,country
Aaron Lewis,outlaw country
Aaron Lewis,country
Jimmy Buffett,No Genre
Nitty Gritty Dirt Band,bluegrass
Nitty Gritty Dirt Band,country rock
Nitty Gritty Dirt Band,country
Nitty Gritty Dirt Band,classic country
Jake Owen,country
Jake Owen,acoustic country
Kenny Chesney,country
Big & Rich,country
Travis Tritt,classic country
Travis Tritt,country
Travis Tritt,outlaw country
Travis Tritt,traditional country
Uncle Kracker,No Genre
The Deep Dixie Boys,No Genre
Brooks Jefferson,country
Brooks Jefferson,classic country
Cash Cash,edm
Tim McGraw,country
Tim McGraw,classic country
Brantley Gilbert,country
Brantley Gilbert,country rock
Brantley Gilbert,country hip hop
Brantley Gilbert,acoustic country
Frankie Ballard,country
Frankie Ballard,acoustic country
BRELAND,country
BRELAND,country hip hop
Hunter Hayes,country
Eric Church,country
Eric Church,acoustic country
Trailer Choir,country hip hop
Waylon Jennings,outlaw country
Waylon Jennings,classic country
Waylon Jennings,country
Waylon Jennings,honky tonk
Waylon Jennings,traditional country
Jerrod Niemann,country
Jerrod Niemann,acoustic country
Granger Smith,country
Granger Smith,texas country
Granger Smith,red dirt
Granger Smith,country hip hop
Granger Smith,acoustic country
Darryl Worley,country
Rodney Atkins,country
Rodney Atkins,acoustic country
Mary J. Blige,r&b
offonoff,k-rap
Matt Maltese,No Genre
fern,No Genre
Nardo Wick,No Genre
Journey,aor
Journey,classic rock
Radiohead,art rock
Radiohead,alternative rock
Freddie Mercury,No Genre
LISA,k-pop
Louis The Child,No Genre
Peach Pit,No Genre
jagger finn,No Genre
Cage The Elephant,No Genre
Dre A.M.,No Genre
The Big 80s Guys,No Genre
"Joe ""Bean"" Esposito",No Genre
Beach Fossils,dream pop
Beach Fossils,surf rock
Beach Fossils,shoegaze
Peter McPoland,No Genre
Tim Hicks,country
Take Me To Your Best Friends House,No Genre
Skylar Grey,No Genre
The Highwaymen,outlaw country
The Highwaymen,classic country
The Highwaymen,country
Rocco DeLuca,No Genre
D'Angelo,neo soul
So Far So Good,No Genre
Diamond Rio,classic country
Diamond Rio,country
Cole Swindell,country
Cole Swindell,acoustic country
Cannon,No Genre
Culture Jam,No Genre
Briston Maroney,No Genre
Crisaunt,bedroom pop
Crumb,neo-psychedelic
Crumb,bedroom pop
JAWNY,bedroom pop
Blxst,No Genre
Tobias Dray,No Genre
MARINA,No Genre
Ingrid Michaelson,No Genre
Jake Banfield,No Genre
Maddie Zahm,No Genre
Phil Good,No Genre
Brooke Alexx,No Genre
Jacob Sigman,No Genre
Paravi,No Genre
Dove Cameron,No Genre
William Hinson,No Genre
Michael Cera,No Genre
Kevin Walkman,No Genre
The Frights,surf rock
The Frights,garage rock
Christopher Jackson,musicals
Colony House,No Genre
DeJ Loaf,No Genre
Larry June,No Genre
Daryl Hall & John Oates,yacht rock
Daryl Hall & John Oates,soft rock
Weston Estate,No Genre
Her's,indie
Ghostland Observatory,No Genre
GIVĒON,r&b
Kmo,No Genre
Pink Floyd,progressive rock
Pink Floyd,psychedelic rock
Pink Floyd,classic rock
Pink Floyd,art rock
Pink Floyd,rock
Duckwrth,No Genre
Mohombi,No Genre
Juan Magán,reggaeton
Juan Magán,latin
Mr. P,afrobeats
Mr. P,afrobeat
Mr. P,afropop
Chri$tian Gate$,No Genre
Lucus,No Genre
Kidd G,country hip hop
Kidd G,country
The Rare Occasions,No Genre
Lonr.,No Genre
Kamaiyah,hyphy
Mak Sauce,No Genre
iLL Wayno,No Genre
King Staccz,No Genre
Ava MakeBelieve,No Genre
Likybo,No Genre
Cookiee Kawaii,jersey club
Cookiee Kawaii,baltimore club
Cookiee Kawaii,ballroom vogue
Dominic Cooper,musicals
Mary Mary,gospel
Mary Mary,gospel r&b
Cigarettes After Sex,dream pop
LMB DG,No Genre
Wizkid,afrobeats
Wizkid,afrobeat
Wizkid,afropop
Wizkid,azonto
Wizkid,afroswing
Wizkid,afro r&b
Wizkid,afropiano
Zanski,No Genre
TWICE,k-pop
BLACKPINK,k-pop
Johnny Cash,classic country
Johnny Cash,outlaw country
Johnny Cash,country
Céline Dion,variété française
TracK V,No Genre
Chitose Morinaga,No Genre
Epic Rap Battles of History,comedy
PENTAGON,k-pop
Red Velvet,k-pop
DAY6,k-rock
DAY6,k-pop
2 Chainz,southern hip hop
2 Chainz,rap
No Rome,No Genre
Waterparks,pop punk
Foo Fighters,rock
Foo Fighters,post-grunge
Foo Fighters,alternative rock
Foo Fighters,grunge
Jimmy Eat World,emo
Jimmy Eat World,pop punk
blink-182,pop punk
blink-182,punk
blink-182,rock
blink-182,skate punk
blink-182,emo
Bruno Major,No Genre
Betcha,No Genre
Cassidi,No Genre
Macklemore,No Genre
Surf Curse,indie
The Japanese House,No Genre
Mother Mother,No Genre
The Struts,glam rock
Vundabar,No Genre
Local Natives,No Genre
SkullKidd,midwest emo
Offset,No Genre
DPR LIVE,k-rap
Chelsea Cutler,No Genre
Carrie Underwood,country
H2O Hadd,No Genre
Bryson Tiller,trap soul
Bryson Tiller,r&b
Madison Beer,No Genre
1990nowhere,No Genre
Mind’s Eye,No Genre
love-sadKID,No Genre
Brendan,No Genre
Gaeko,k-rap
Miso,No Genre
Gaho,soundtrack
SHIGEO SEKITO,jazz fusion
SEGA SOUND TEAM,japanese vgm
SEGA SOUND TEAM,soundtrack
Michael Bublé,christmas
Clubhouse,No Genre
pH-1,k-rap
RM,k-pop
RM,k-rap
Hott Headzz,No Genre
Kofi,No Genre
AJ Mitchell,No Genre
NO1-NOAH,trap soul
SHY!,No Genre
Courtney Santana,No Genre
4Fargo,No Genre
SoMo,No Genre
MICO,No Genre
JOEY DJIA,No Genre
Bobby Helms,christmas
Bobby Helms,villancicos
Wham!,christmas
Brian McKnight Jr.,No Genre
Tori Kelly,No Genre
Pentatonix,christmas
Band Aid,christmas
Jay Park,k-rap
Jay Park,k-pop
Hoody,k-rap
NCT U,k-pop
NCT U,noise music
TOMORROW X TOGETHER,k-pop
Troye Sivan,No Genre
HYUKOH,k-rock
HYUKOH,k-ballad
kelseydog,No Genre
toastool,No Genre
Alex G,No Genre
cupcakKe,No Genre
B-Lovee,new york drill
B-Lovee,drill
B-Lovee,brooklyn drill
B-Lovee,sexy drill
LulJaime,No Genre
Yeat,rage rap
SOLE,k-rap
BIGBANG,k-pop
BOL4,k-pop
BOL4,k-ballad
Ricky Martin,latin pop
Ricky Martin,latin
brb.,No Genre
TAEMIN,k-pop
bbno$,No Genre
Illijah,No Genre
Scary Pockets,funk
Scary Pockets,retro soul
Touliver,v-pop
Touliver,vietnamese hip hop
Touliver,vinahouse
Touliver,vietnam indie
Rancid Eddie,No Genre
Curlybamm,No Genre
3xbravo,No Genre
Bryce Xavier,No Genre
Dryboy,No Genre
B.O.G Rell,No Genre
Belly,No Genre
NF,christian hip hop
Elko,emo rap
Earthquake Lights,No Genre
Dario Lessing,lo-fi
Ivan B,No Genre
ODESZA,chillwave
ODESZA,chillstep
XYLØ,No Genre
Saib,lo-fi
Saib,lo-fi beats
Saib,jazz house
Saib,lo-fi hip hop
Saib,jazz beats
Shaun D,No Genre
Passion Pit,indie
Stephen,No Genre
Low Hum,No Genre
LUCKY TAPES,japanese indie
LUCKY TAPES,j-r&b
LUCKY TAPES,city pop
LUCKY TAPES,j-pop
Stray Kids,k-pop
Stray Kids,noise music
STAYC,k-pop
Dro Kenji,melodic rap
Dro Kenji,emo rap
NCT 2021,k-pop
1TEAM,k-pop
NCT DREAM,k-pop
NCT DREAM,noise music
ENHYPEN,k-pop
BE'O,k-rap
ZICO,k-rap
ZICO,k-pop
ITZY,k-pop
JEON SOMI,k-pop
NCT 127,k-pop
NCT 127,noise music
P1Harmony,k-pop
P1Harmony,noise music
CHANYEOL,k-pop
Weeekly,k-pop
IZ*ONE,k-pop
Jay Bezzy,brooklyn drill
Hoobastank,nu metal
Daniel Caesar,No Genre
Loud Luxury,No Genre
Raiden,No Genre
JUNNY,k-rap
HENRY,k-pop
HENRY,k-ballad
BAEKHYUN,k-pop
BAEKHYUN,k-ballad
Mooski,No Genre
Rowdy Rebel,brooklyn drill
Rowdy Rebel,new york drill
Rasandra,No Genre
MIKE DEAN,No Genre
EXO,k-pop
EXO-K,k-pop
TOMORO,No Genre
Paper Route,christian rock
Paper Route,christian alternative rock
Childish Major,No Genre
Frisco,grime
Frisco,uk grime
King Krule,No Genre
Mike Jones,southern hip hop
Mike Jones,crunk
Lee Bezel,No Genre
Smoke DZA,No Genre
JID,No Genre
Jay Prince,No Genre
Bad Bunny,reggaeton
Bad Bunny,trap latino
Bad Bunny,urbano latino
Bad Bunny,latin
BLESSED,No Genre
Campfire,No Genre
Pardison Fontaine,No Genre
Anonymuz,No Genre
Fourtee,No Genre
Dreezy,No Genre
Run The Jewels,hip hop
Pesukone,No Genre
S productions,No Genre
SongBot,No Genre
Saba,No Genre
The Vaccines,indie
The Vaccines,indie rock
Peter Bjorn and John,indie
Hotel Ugly,No Genre
BEAUTY SCHOOL DROPOUT,No Genre
The Kinks,proto-punk
The Kinks,baroque pop
Rhye,No Genre
Kay Flock,new york drill
Kay Flock,drill
Kay Flock,brooklyn drill
LilBuckss,No Genre
Kehlani,No Genre
Johnny Mathis,christmas
Dean Martin,christmas
Dean Martin,adult standards
Dean Martin,big band
Dean Martin,swing music
Thurl Ravenscroft,christmas
Bing Crosby,christmas
HoodRich Pablo Juan,No Genre
Tritonal,edm
Tritonal,progressive house
Tritonal,progressive trance
Xavier Wulf,cloud rap
Xavier Wulf,underground hip hop
Xavier Wulf,emo rap
Bass Santana,No Genre
Bring Me The Horizon,metalcore
Bring Me The Horizon,emo
Bring Me The Horizon,screamo
Bring Me The Horizon,rock
Bring Me The Horizon,post-hardcore
I Prevail,metalcore
I Prevail,metal
GANK,No Genre
astra!,No Genre
23drew$ki,No Genre
Kunning Fox,No Genre
Braxton Burks,orchestral
Arcade Player,No Genre
Tristan D. Perez,No Genre
The Greatest Bits,No Genre
Typhillosion,anime
Pokémon,anime
Chippy Bits,lo-fi
HoopsandHipHop,lo-fi
Walk off the Earth,No Genre
Video Games Theme,No Genre
insaneintherainmusic,jazz
Darren Ang,No Genre
Pokérus Project,lo-fi
Collosia,lo-fi
Jonathan Aldrich,No Genre
A-bug,lo-fi
Aries,No Genre
Finn Askew,No Genre
VÉRITÉ,No Genre
The Alan Parsons Project,progressive rock
The Alan Parsons Project,classic rock
Scorpions,hard rock
Scorpions,glam metal
Scorpions,rock
The Shelters,No Genre
Eric B. & Rakim,old school hip hop
Eric B. & Rakim,east coast hip hop
Eric B. & Rakim,hip hop
Cousin Stizz,No Genre
Shy Luv,No Genre
Onyx,east coast hip hop
Onyx,hardcore hip hop
Onyx,old school hip hop
Linda Lind,No Genre
Salmo,italian trap
Take a Mic,french rap
Roosevelt,nu disco
ILLSON,k-rap
Carlos Jean,No Genre
EMoneyOne11,No Genre
